clientes;status;genero;compras;regiao;pagto;qtde;pedido;amostras
622;0;0;2;0;1;1;100;Teste
623;0;0;1;0;1;2;800;Treino
624;0;0;8;0;1;1;300;Treino
625;0;0;1;0;1;1;300;Teste
626;0;0;1;1;1;1;200;Treino
627;0;0;4;0;1;3;1000;Teste
628;0;0;4;0;1;6;1000;Treino
629;0;0;1;0;1;2;600;Treino
630;0;0;1;0;1;1;200;Treino
631;1;0;8;0;1;1;300;Teste
632;0;0;6;1;1;3;1000;Treino
633;0;0;7;0;1;1;100;Teste
634;0;0;9;0;1;1;200;Treino
635;0;0;1;0;4;1;500;Teste
636;0;1;2;0;1;1;600;Teste
637;0;0;2;0;1;2;200;Teste
638;0;0;1;1;1;1;200;Teste
639;0;0;2;0;1;2;600;Teste
640;0;0;2;0;1;1;600;Treino
641;1;0;2;0;1;1;600;Teste
642;0;0;14;0;1;1;400;Treino
643;0;0;2;0;1;1;200;Treino
644;0;0;2;0;1;7;2000;Teste
645;0;0;1;0;1;1;100;Treino
646;0;0;1;0;1;1;500;Treino
647;0;0;6;1;1;1;1000;Teste
648;0;0;1;0;1;1;100;Treino
649;1;0;3;0;1;2;300;Treino
650;0;0;3;0;1;1;100;Treino
651;0;0;14;0;1;1;100;Treino
652;0;0;1;0;1;1;400;Treino
653;0;0;8;0;1;1;400;Treino
654;1;0;9;0;1;3;500;Treino
655;0;0;1;0;1;1;200;Teste
656;0;0;1;0;1;3;400;Teste
657;0;0;1;1;1;5;400;Treino
658;1;0;1;0;1;1;400;Teste
659;0;0;1;0;0;2;400;Treino
660;0;0;4;0;1;3;400;Teste
661;0;0;1;0;1;3;900;Treino
662;0;0;1;0;1;3;400;Treino
663;0;0;5;0;1;4;1000;Treino
664;0;0;2;0;1;2;100;Teste
665;0;0;1;0;1;2;400;Teste
666;0;0;1;0;1;2;200;Teste
667;0;0;2;1;1;3;600;Treino
668;0;0;1;0;1;2;400;Treino
669;1;0;1;0;1;1;100;Teste
670;0;0;2;0;1;1;100;Teste
671;1;0;4;0;1;2;1000;Teste
672;1;0;4;0;1;1;200;Treino
673;1;0;4;0;1;1;200;Teste
674;0;0;1;0;1;1;300;Treino
675;0;0;1;0;1;3;1000;Teste
676;0;0;9;0;1;3;400;Teste
677;1;0;4;0;1;1;500;Treino
678;0;0;1;1;1;3;700;Teste
679;0;0;1;0;1;4;500;Treino
680;0;0;1;0;1;1;400;Teste
681;0;0;1;0;1;2;600;Treino
682;0;0;1;0;1;1;100;Teste
683;0;0;9;0;1;1;300;Teste
684;0;0;9;0;1;1;100;Treino
685;0;0;1;0;1;2;500;Teste
686;0;1;9;1;1;2;200;Treino
687;0;0;2;0;1;2;400;Treino
688;0;0;2;0;1;2;600;Teste
