clientes;status;genero;compras;regiao;pagto;qtde;pedido
521;0;0;1;0;1;1;300
522;0;0;1;0;2;1;300
523;0;0;1;1;1;1;100
524;1;0;1;1;3;1;400
525;0;0;1;1;2;3;400
526;0;0;1;0;1;1;500
527;0;0;2;1;1;1;200
528;1;0;1;0;2;2;1000
529;0;0;2;0;2;1;100
530;0;0;2;0;2;1;400
531;0;0;1;0;2;1;100
532;0;0;2;0;2;1;300
533;0;0;1;1;2;1;100
534;1;0;2;0;2;1;100
535;0;0;1;0;1;2;100
536;0;0;2;1;2;2;300
537;0;1;1;1;2;1;200
538;0;0;2;1;1;1;200
539;0;0;6;1;1;1;100
540;0;0;1;0;1;1;500
541;0;0;2;0;2;1;100
542;0;0;3;0;1;2;300
543;0;0;1;0;2;3;400
544;0;0;1;0;2;1;1000
545;0;0;1;0;1;1;100
546;0;0;1;1;2;1;300
547;0;0;3;0;1;1;200
548;0;0;1;0;1;7;3000
549;0;0;2;1;2;1;300
550;0;0;2;1;2;1;300
551;0;0;1;0;1;1;400
552;0;0;1;1;2;3;200
553;0;0;2;0;1;1;500
554;0;0;4;1;1;2;200
555;0;0;1;0;2;1;300
556;0;0;1;0;2;1;200
557;0;0;1;0;1;7;2000
558;0;0;4;0;2;2;400
559;0;0;1;0;1;1;300
560;1;0;3;1;3;1;400
561;1;0;9;0;2;1;100
562;0;0;4;0;1;1;200
563;0;0;1;1;1;9;1000
564;0;0;1;0;1;1;300
565;0;0;2;0;2;1;300
566;0;0;2;0;1;1;100
567;1;0;9;0;2;1;100
568;0;0;1;0;2;2;600
569;0;0;4;1;1;2;200
570;0;0;9;0;2;1;100
571;0;0;1;0;1;1;200
572;0;0;14;0;1;1;200
573;0;0;1;0;2;1;100
574;0;0;1;1;2;1;100
575;0;0;4;1;1;1;200
576;0;0;1;0;1;1;300
577;0;0;1;0;2;1;100
578;0;0;1;0;2;1;100
579;0;0;3;1;1;1;300
580;0;0;1;0;1;4;2000
581;0;0;2;1;1;1;600
582;0;0;1;0;2;1;300
